data_year,suspected_drug_type_id,property_id,est_drug_qty,drug_measure_type_id,nibrs_suspected_drug_id
2022,8,162491618,10.000,1,14667685
2022,12,162491624,0.200,1,14667687
2022,8,162491626,0.500,1,14667688
2022,8,162491628,0.600,1,14667689
2022,11,162493634,20.000,1,14668211
2022,12,162491632,1.000,1,14667690
2022,12,162491637,17.600,1,14667691
2022,16,162491639,2.000,1,14667692
2022,8,162491640,1.000,9,14667693
2022,5,162491652,2.000,1,14667694
2022,12,162491653,14.100,1,14667695
2022,12,162491655,1.000,1,14667696
2022,5,162491658,42.500,1,14667697
2022,5,162483776,18.000,1,14666530
2022,12,162491662,4.400,1,14667698
2022,12,162491665,56.700,1,14667699
2022,5,162491670,197.700,1,14667700
2022,12,162491673,1.700,1,14667701
2022,5,162491674,33.300,1,14667702
2022,8,162491678,60.000,5,14667703
2022,12,162491680,5.500,1,14667705
2022,12,162491679,3.300,1,14667704
2022,12,162491682,2.000,1,14667706
2022,12,162483777,1.000,1,14666531
2022,12,162491684,1.000,1,14667707
2022,12,162491685,1.000,1,14667708
2022,12,162491690,0.010,1,14667710
2022,12,162491689,1.000,1,14667709
2022,5,162491692,8.600,1,14667711
2022,8,162491693,1.000,1,14667712
2022,5,162491694,1.000,1,14667713
2022,8,162491702,29.900,1,14667714
2022,8,162491703,1.200,1,14667715
2022,5,162491705,33.900,1,14667716
2022,12,162491707,0.500,1,14667717
2022,12,162491709,0.500,1,14667718
2022,12,162491710,1.000,1,14667719
2022,16,162491715,6.300,1,14667720
2022,8,162491716,0.600,1,14667721
2022,12,162491721,7.500,1,14667722
2022,5,162491723,5.000,1,14667723
2022,12,162491728,1.000,1,14667724
2022,16,162491733,2.000,1,14667725
2022,12,162491735,1.200,1,14667726
2022,12,162491736,1.000,1,14667727
2022,5,162491737,1.000,1,14667728
2022,8,162491743,9.000,1,14667729
2022,12,162491749,4.700,1,14667730
2022,5,162491751,2.000,1,14667731
2022,12,162493570,1.000,1,14668203
2022,5,162491760,2.700,1,14667732
2022,5,162491765,2.200,1,14667733
2022,12,162491768,15.300,1,14667735
2022,16,162491767,4.000,9,14667734
2022,8,162491771,2.000,1,14667736
2022,8,162491775,1.000,9,14667737
2022,12,162491777,2.500,1,14667738
2022,2,162491778,0.400,1,14667739
2022,5,162491779,17.500,1,14667740
2022,8,162491780,5.000,1,14667741
2022,12,162491785,0.200,1,14667742
2022,12,162491787,0.200,1,14667744
2022,12,162491788,2.000,1,14667745
2022,16,162491786,7.000,1,14667743
2022,5,162491790,1.000,1,14667746
2022,5,162491791,4.100,1,14667747
2022,12,162491792,1.000,1,14667748
2022,5,162491796,19.700,1,14667749
2022,16,162491798,1.000,1,14667750
2022,12,162491800,0.300,1,14667751
2022,11,162491803,12.000,1,14667752
2022,8,162491805,0.000,1,14667753
2022,5,165051148,1.300,1,15012409
2022,8,162493637,1.000,1,14668213
2022,11,162493638,10.500,1,14668214
2022,12,162487258,1.400,1,14667238
2022,8,162491815,1.400,1,14667754
2022,5,162491816,1.000,1,14667755
2022,2,162491817,0.200,1,14667756
2022,8,162491830,1.700,1,14667757
2022,5,162491832,2.700,1,14667758
2022,12,162491844,3.100,1,14667759
2022,5,162491855,8.400,1,14667760
2022,5,162491857,14.000,1,14667762
2022,12,162491856,29.400,1,14667761
2022,12,162491872,8.100,1,14667774
2022,12,162491876,0.200,1,14667778
2022,12,162491880,10.100,1,14667779
2022,8,162491883,1.000,1,14667780
2022,12,162491884,1.000,1,14667781
2022,12,162491886,2.000,1,14667782
2022,12,162491889,1.000,1,14667783
2022,5,162491890,5.400,1,14667784
2022,12,162491898,9.900,1,14667785
2022,5,162491899,0.200,1,14667786
2022,5,162491901,30.200,1,14667787
2022,5,162491903,1.000,1,14667788
2022,12,162491904,1.000,1,14667789
2022,16,162491908,5.000,1,14667790
2022,5,162491910,5.000,1,14667791
2022,16,162491911,6.000,1,14667792
2022,5,162491918,2.170,1,14667793
2022,5,162491922,7.300,1,14667794
2022,17,162491924,1.200,1,14667795
2022,12,162491925,1.000,1,14667796
2022,2,162491928,1.000,1,14667797
2022,16,162491934,4.000,1,14667798
2022,8,162491935,1.000,1,14667799
2022,12,162491937,3.700,1,14667800
2022,8,162487261,1.700,1,14667239
2022,12,162493571,1.000,1,14668204
2022,12,162491942,64.300,1,14667801
2022,8,162491943,1.000,1,14667802
2022,8,162491950,1.000,1,14667803
2022,12,162491951,25.500,1,14667804
2022,16,162491957,1.330,1,14667805
2022,2,162491958,3.000,1,14667806
2022,12,162491962,3.100,1,14667807
2022,16,162491963,13.000,1,14667808
2022,12,162491973,0.500,1,14667810
2022,2,162491974,16.000,1,14667811
2022,12,162491975,7.700,1,14667812
2022,12,162491976,0.600,1,14667813
2022,5,162491980,57.500,1,14667814
2022,12,162491981,1.000,1,14667815
2022,12,162491987,0.400,1,14667818
2022,5,162491986,0.200,1,14667817
2022,12,162491985,3.000,1,14667816
2022,12,162491991,1.000,1,14667819
2022,5,162491996,5.700,1,14667820
2022,12,162493572,16.100,1,14668205
2022,8,162492001,9.000,1,14667821
2022,8,162492013,1.300,1,14667822
2022,8,162492016,4.200,1,14667823
2022,5,162492021,2.000,1,14667824
2022,2,162492025,1.000,1,14667825
2022,5,162492026,6.000,1,14667826
2022,12,162492027,1.000,1,14667827
2022,12,162492031,1.000,1,14667828
2022,12,162492032,36.800,1,14667829
2022,5,162492039,4.200,1,14667830
2022,5,162492043,8.800,1,14667831
2022,5,162492044,0.800,1,14667832
2022,12,162492045,1.000,1,14667833
2022,8,162492046,1.800,1,14667834
2022,8,162492048,2.000,1,14667835
2022,8,162492051,1.000,1,14667836
2022,12,162483781,1.000,1,14666532
2022,5,162492054,3.000,1,14667837
2022,7,162492056,3.000,1,14667838
2022,16,162492058,77.000,9,14667840
2022,2,162492057,1.000,1,14667839
2022,5,162492066,4.680,1,14667841
2022,16,162492092,3.000,1,14667842
2022,12,162492094,1.500,1,14667843
2022,8,162492095,7.000,1,14667844
2022,8,162492104,1.500,1,14667845
2022,12,162492109,1.000,1,14667846
2022,5,162492110,12.800,1,14667847
2022,12,162492111,2.300,1,14667848
2022,16,162492113,1.000,9,14667849
2022,8,162492118,0.500,1,14667850
2022,12,162492120,17.120,1,14667851
2022,5,162492144,7.800,1,14667852
2022,2,162492150,0.800,1,14667853
2022,2,162492152,0.100,1,14667854
2022,12,162492155,0.200,1,14667855
2022,12,162492159,0.010,1,14667857
2022,12,162492158,6.600,1,14667856
2022,12,162493639,1.000,1,14668215
2022,12,162492167,3.700,1,14667858
2022,12,162492168,1.400,1,14667859
2022,8,162492174,1.000,1,14667860
2022,16,162492178,0.100,1,14667861
2022,8,162492183,4.100,1,14667862
2022,16,162492191,1.000,1,14667863
2022,16,162492198,1.000,1,14667864
2022,12,162493640,1.000,1,14668216
2022,2,162492209,0.800,1,14667865
2022,12,162492210,3.000,1,14667866
2022,12,162492214,1.000,1,14667868
2022,12,162492211,5.130,1,14667867
2022,5,162492215,10.500,1,14667869
2022,5,162492223,22.000,1,14667871
2022,12,162492227,3.000,1,14667872
2022,5,162492233,3.200,1,14667873
2022,12,162492237,1.000,1,14667874
2022,2,162492243,2.000,1,14667875
2022,12,162492244,2.700,1,14667876
2022,5,162492245,18.500,1,14667877
2022,12,162492251,1.000,1,14667878
2022,12,162492253,1.000,1,14667879
2022,16,162492260,8.500,1,14667880
2022,16,165051148,1.000,1,15012410
2022,5,165031815,6.700,1,15010509
2022,12,162492273,0.200,1,14667881
2022,16,162492275,11.200,1,14667883
2022,12,162492274,3.000,1,14667882
2022,12,162492278,8.400,1,14667884
2022,1,162492287,1.000,1,14667885
2022,5,162492290,4.000,1,14667887
2022,8,162492292,14.400,1,14667888
2022,5,162492289,0.600,1,14667886
2022,12,162492298,1.000,1,14667889
2022,12,162492301,0.100,1,14667890
2022,11,162492304,0.600,1,14667891
2022,16,162492309,289.500,1,14667892
2022,12,162492310,0.500,1,14667893
2022,12,162492327,15.000,1,14667894
2022,12,162492334,1.000,1,14667895
2022,12,162492339,3.000,1,14667896
2022,8,162492343,7.000,9,14667897
2022,2,162492353,1.400,1,14667898
2022,2,162492358,3.800,1,14667899
2022,5,162492363,6.000,1,14667901
2022,8,162492369,1.000,1,14667902
2022,12,162492373,1.000,1,14667905
2022,12,162492375,4.000,1,14667906
2022,8,162492591,0.300,1,14667967
2022,2,162492380,0.600,1,14667907
2022,5,162493641,1886.700,1,14668217
2022,8,162493573,1.000,1,14668206
